transactions_per_month,support_tickets,churn
13.46,5,1
6.22,8,1
11.05,4,1
8.25,7,1
9.21,4,0
11.83,2,0
9.14,4,1
10.69,6,1
3.61,7,1
11.24,2,0
8.68,3,0
7.44,8,1
9.14,6,1
7.92,7,1
6.53,4,0
13.96,9,1
10.85,2,0
9.23,10,1
10.93,6,1
6.14,1,0
10.5,9,1
9.52,4,1
4.9,2,0
5.36,9,1
14.74,3,0
7.18,4,0
11.04,4,1
15.92,8,1
8.51,2,0
9.09,3,0
8.48,8,1
3.31,8,1
13.89,7,1
5.71,0,0
10.55,9,1
12.63,0,0
8.27,6,0
10.65,1,0
4.46,10,1
6.76,7,1
11.59,2,0
1.0,5,1
10.27,3,0
12.14,3,0
14.01,6,0
13.36,8,1
14.31,3,0
9.51,3,0
12.38,5,1
13.96,4,1
7.46,8,1
9.14,9,1
18.65,6,1
9.8,7,1
10.34,0,0
6.7,1,0
15.35,3,0
14.53,5,0
7.43,5,0
9.43,4,0
8.5,7,1
11.18,8,1
6.22,2,0
5.0,8,1
11.9,0,0
11.81,2,0
12.66,7,1
12.36,7,1
15.69,3,0
9.39,6,0
3.78,7,1
13.92,7,1
10.21,0,0
10.67,0,0
2.28,7,1
14.78,0,0
10.59,8,1
11.7,2,0
13.54,7,0
15.99,6,1
15.58,3,0
6.56,8,1
9.71,0,0
9.01,1,0
12.1,5,1
12.51,5,1
3.63,4,0
8.23,3,0
1.0,3,0
12.47,2,0
9.42,1,0
17.12,7,1
5.46,7,1
3.62,2,0
18.1,8,1
10.05,4,0
15.48,2,0
14.53,4,0
5.95,6,1
9.79,6,1
