customer_id,engagement,transactions_per_month,support_tickets,churn
1,78.36,13.46,5,1
2,41.71,6.22,8,1
3,66.8,11.05,4,1
4,48.49,8.25,7,1
5,64.28,9.21,4,0
6,67.57,11.83,2,0
7,61.63,9.14,4,1
8,61.82,10.69,6,1
9,46.19,3.61,7,1
10,73.3,11.24,2,0
11,49.68,8.68,3,0
12,45.07,7.44,8,1
13,59.89,9.14,6,1
14,50.78,7.92,7,1
15,55.84,6.53,4,0
16,76.92,13.96,9,1
17,60.8,10.85,2,0
18,69.52,9.23,10,1
19,54.69,10.93,6,1
20,49.54,6.14,1,0
21,41.37,10.5,9,1
22,51.15,9.52,4,1
23,39.01,4.9,2,0
24,46.7,5.36,9,1
25,74.2,14.74,3,0
26,44.54,7.18,4,0
27,61.31,11.04,4,1
28,78.34,15.92,8,1
29,53.54,8.51,2,0
30,58.54,9.09,3,0
31,49.35,8.48,8,1
32,31.35,3.31,8,1
33,75.18,13.89,7,1
34,40.81,5.71,0,0
35,63.17,10.55,9,1
36,65.43,12.63,0,0
37,56.71,8.27,6,0
38,70.82,10.65,1,0
39,35.43,4.46,10,1
40,43.94,6.76,7,1
41,59.14,11.59,2,0
42,10.0,1.0,5,1
43,52.46,10.27,3,0
44,62.59,12.14,3,0
45,76.09,14.01,6,0
46,75.94,13.36,8,1
47,65.92,14.31,3,0
48,64.05,9.51,3,0
49,66.26,12.38,5,1
50,76.18,13.96,4,1
51,47.97,7.46,8,1
52,48.33,9.14,9,1
53,87.58,18.65,6,1
54,55.88,9.8,7,1
55,54.85,10.34,0,0
56,32.22,6.7,1,0
57,78.41,15.35,3,0
58,78.12,14.53,5,0
59,36.37,7.43,5,0
60,53.64,9.43,4,0
61,46.01,8.5,7,1
62,56.3,11.18,8,1
63,44.6,6.22,2,0
64,33.04,5.0,8,1
65,64.67,11.9,0,0
66,65.35,11.81,2,0
67,45.64,12.66,7,1
68,66.07,12.36,7,1
69,76.53,15.69,3,0
70,51.8,9.39,6,0
71,39.6,3.78,7,1
72,75.95,13.92,7,1
73,48.29,10.21,0,0
74,61.82,10.67,0,0
75,28.79,2.28,7,1
76,77.03,14.78,0,0
77,54.99,10.59,8,1
78,57.02,11.7,2,0
79,65.65,13.54,7,0
80,89.91,15.99,6,1
81,95.93,15.58,3,0
82,48.3,6.56,8,1
83,46.7,9.71,0,0
84,57.5,9.01,1,0
85,66.7,12.1,5,1
86,65.5,12.51,5,1
87,39.64,3.63,4,0
88,53.49,8.23,3,0
89,16.87,1.0,3,0
90,72.43,12.47,2,0
91,53.3,9.42,1,0
92,85.98,17.12,7,1
93,38.24,5.46,7,1
94,32.45,3.62,2,0
95,85.44,18.1,8,1
96,58.17,10.05,4,0
97,80.83,15.48,2,0
98,86.48,14.53,4,0
99,33.67,5.95,6,1
100,58.51,9.79,6,1
