customer_id,customer_type,lifetime_value,churn,support_tickets,retention_days
1001,SMB,9121.87,0,3,371
1002,Startup,2009.02,0,0,263
1003,Startup,2270.92,0,3,274
1004,Startup,657.61,0,2,239
1005,SMB,3617.97,1,5,401
1006,Startup,1639.68,0,2,245
1007,Startup,2076.92,0,2,188
1008,SMB,10397.97,0,5,347
1009,Startup,1327.21,1,3,214
1010,Enterprise,128172.19,0,7,811
1011,Startup,1349.33,0,2,254
1012,Enterprise,154846.67,0,12,727
1013,Startup,2067.86,0,2,219
1014,Startup,1148.93,0,1,272
1015,Startup,2601.24,0,2,239
1016,Startup,1579.14,0,3,192
1017,Enterprise,139954.89,0,9,785
1018,Startup,1863.65,0,3,174
1019,Startup,1869.15,0,2,239
1020,SMB,6032.25,0,3,346
1021,SMB,8319.94,1,4,323
1022,Enterprise,165127.03,0,6,795
1023,SMB,7085.33,0,4,361
1024,SMB,8146.97,1,5,342
1025,Enterprise,132547.39,0,10,702
1026,Enterprise,158008.24,0,8,720
1027,Enterprise,136912.53,0,7,699
1028,Startup,2328.47,0,2,232
1029,Startup,2534.48,1,2,223
1030,Startup,2403.72,0,1,197
1031,SMB,5979.31,1,3,414
1032,Enterprise,138947.08,0,10,778
1033,Startup,1564.74,0,3,231
1034,SMB,6994.07,0,6,349
1035,SMB,6206.18,0,5,414
1036,Enterprise,140925.11,0,9,628
1037,Startup,1789.53,0,2,258
1038,SMB,7183.83,0,4,362
1039,Startup,1690.46,0,1,248
1040,Enterprise,159153.53,0,9,779
1041,SMB,8655.41,0,6,403
1042,Enterprise,137469.52,0,5,771
1043,SMB,8122.74,0,4,401
1044,Startup,1722.97,0,3,276
1045,Enterprise,138981.04,0,9,679
1046,Enterprise,139414.04,0,9,788
1047,Startup,1374.65,0,2,178
1048,Startup,1165.77,0,0,242
1049,SMB,7516.52,0,6,428
1050,Startup,1762.83,0,2,230
1051,SMB,10134.12,0,5,403
1052,Startup,2354.96,0,2,250
1053,Enterprise,169915.04,0,8,718
1054,SMB,8933.31,0,3,407
1055,Enterprise,183226.03,0,8,701
1056,Enterprise,180861.35,0,10,712
1057,Startup,1780.5,0,3,225
1058,Enterprise,168102.44,0,8,738
1059,Enterprise,168756.77,0,7,730
1060,Startup,2201.65,1,2,193
1061,Enterprise,166941.58,0,10,793
1062,Enterprise,136715.45,1,11,598
