order_item_id,order_id,product_id,quantity,unit_price
OI001,O001,P001,1,5000
OI002,O002,P002,1,3500
OI003,O003,P003,1,7000
OI004,O004,P001,1,4500
OI005,O005,P004,1,1200
OI006,O006,P002,1,6000
OI007,O007,P003,1,5500
OI008,O008,P005,1,800
OI009,O009,P001,1,9000
OI010,O010,P002,1,6500
OI011,O011,P005,1,900
OI012,O012,P003,1,7500
OI013,O013,P004,1,6000
OI014,O014,P005,1,1100
OI015,O015,P001,1,8000
OI016,O016,P002,1,7000
OI017,O017,P004,1,5000
OI018,O018,P001,1,9000
OI019,O019,P003,1,6500
OI020,O020,P005,1,700
OI021,O021,P004,1,4000
